work_id,doi,title,publication_date,publication_year,type,included_in_denominator
https://openalex.org/W4385094162,https://doi.org/10.1103/prxlife.1.013002,"Conflicting Roles of Flagella in Planktonic Protists: Propulsion, Resource Acquisition, and Stealth",2023-07-20,2023,article,True
https://openalex.org/W4384934712,https://doi.org/10.1103/prxlife.1.013001,Interplay between Mechanochemical Patterning and Glassy Dynamics in Cellular Monolayers,2023-07-20,2023,article,True
https://openalex.org/W4384934636,https://doi.org/10.1103/prxlife.1.013003,Thermodynamic Limits of Sperm Swimming Precision,2023-07-20,2023,article,True
https://openalex.org/W4385235880,https://doi.org/10.1103/prxlife.1.013004,Tissue Flows Are Tuned by Actomyosin-Dependent Mechanics in Developing Embryos,2023-07-25,2023,article,True
https://openalex.org/W4385303265,https://doi.org/10.1103/prxlife.1.013005,Speed Inversion in a Potts Glass Model of Cortical Dynamics,2023-07-27,2023,article,True
https://openalex.org/W4385577905,https://doi.org/10.1103/prxlife.1.013006,Theory of Rheology and Aging of Protein Condensates,2023-08-04,2023,article,True
https://openalex.org/W4385666845,https://doi.org/10.1103/prxlife.1.013007,Synchronous Replication Initiation of Multiple Origins,2023-08-08,2023,article,True
https://openalex.org/W4385740374,https://doi.org/10.1103/prxlife.1.013008,Normative Framework for Deriving Neural Networks with Multicompartmental Neurons and Non-Hebbian Plasticity,2023-08-10,2023,article,True
https://openalex.org/W4385839516,https://doi.org/10.1103/prxlife.1.013009,Data-Driven Model Construction for Anisotropic Dynamics of Active Matter,2023-08-15,2023,article,True
https://openalex.org/W4385966948,https://doi.org/10.1103/prxlife.1.013010,From Effective Interactions Extracted Using Hi-C Data to Chromosome Structures in Conventional and Inverted Nuclei,2023-08-17,2023,article,True
https://openalex.org/W4386070036,https://doi.org/10.1103/prxlife.1.011001,Quantitative Theory of Viral-Immune Coevolution May Be within Reach,2023-08-22,2023,article,True
https://openalex.org/W4386225115,https://doi.org/10.1103/prxlife.1.013011,Bacterial Replication Initiation as Precision Control by Protein Counting,2023-08-28,2023,article,True
https://openalex.org/W4296563412,https://doi.org/10.1103/prxlife.1.013012,Molecular Motors Enhance Microtubule Lattice Plasticity,2023-08-31,2023,article,True
https://openalex.org/W4386459156,https://doi.org/10.1103/prxlife.1.013013,Confinement Mechanisms for Epigenetic Modifications of Nucleosomes,2023-09-05,2023,article,True
https://openalex.org/W4386496617,https://doi.org/10.1103/prxlife.1.013014,Cell Lineage Statistics with Incomplete Population Trees,2023-09-07,2023,article,True
https://openalex.org/W4386742912,https://doi.org/10.1103/prxlife.1.013015,Synthetic Biology for Vector-Borne Diseases,2023-09-14,2023,article,True
https://openalex.org/W4386863690,https://doi.org/10.1103/prxlife.1.013016,Light-Driven Flagella Elucidate the Role of Hook and Cell Body Kinematics in Bundle Formation,2023-09-19,2023,article,True
https://openalex.org/W4387378136,https://doi.org/10.1103/prxlife.1.023001,Connecting cooperative transport by ants with the physics of self-propelled particles,2023-10-05,2023,article,True
https://openalex.org/W4387528506,https://doi.org/10.1103/prxlife.1.023002,Odd Elastohydrodynamics: Non-Reciprocal Living Material in a Viscous Fluid,2023-10-11,2023,article,True
https://openalex.org/W4387706560,https://doi.org/10.1103/prxlife.1.023003,Semantic Information in a Model of Resource Gathering Agents,2023-10-17,2023,article,True
https://openalex.org/W4226004899,https://doi.org/10.1103/prxlife.1.023004,Emergence of Single- versus Multi-State Allostery,2023-11-09,2023,article,True
